,Q1,Q2,Q3,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18a,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
313,5,1,1,1,1,1,1,7,7,2,2,1,1,2,2,3,5,1,1,2,2,1,2,2,2,2
314,5,1,1,1,1,1,2,7,7,2,2,2,1,2,2,3,5,1,1,2,4,2,2,1,2,2
315,2,2,1,2,1,2,1,8,9,1,1,2,2,2,2,4,3,2,4,1,1,1,2,1,1,2
316,4,1,1,1,1,1,2,7,5,2,2,2,1,2,2,3,5,1,2,1,1,2,2,1,1,2
317,3,1,1,1,1,1,1,9,7,2,2,2,1,2,2,4,3,1,1,2,3,2,2,2,2,2
319,3,1,1,2,2,1,2,7,6,1,2,2,1,2,2,2,3,1,1,2,1,2,1,1,2,1
321,4,1,1,2,2,2,1,7,8,1,1,2,2,2,1,5,3,1,1,1,4,1,1,1,2,1
329,2,1,1,2,1,1,1,7,9,2,2,2,1,2,2,3,5,1,1,2,3,2,2,2,2,2
330,4,1,14,2,2,1,2,7,7,2,2,1,1,2,2,3,5,1,1,2,4,1,2,1,1,2
331,2,2,15,2,1,1,1,8,10,2,2,2,1,2,1,3,2,1,1,2,3,2,2,2,2,2
337,5,1,1,2,2,1,2,7,7,2,2,2,1,2,2,2,4,1,1,2,1,2,2,2,2,2
338,6,1,7,2,2,1,1,7,8,2,2,2,1,2,2,4,3,2,2,2,2,2,2,2,1,2
344,3,1,1,1,1,1,2,6,6,2,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2
346,2,1,1,2,2,2,1,6,8,2,2,2,2,2,2,4,3,4,4,2,3,2,1,2,1,2
348,6,2,7,2,1,1,1,8,7,2,2,2,1,2,1,2,1,5,5,2,2,1,2,2,1,1
356,2,1,1,2,1,1,2,8,6,2,2,2,2,2,2,4,3,1,1,2,4,2,2,2,2,2
358,4,2,33,2,2,1,2,8,8,1,1,1,2,2,2,4,3,1,1,1,1,2,2,1,1,1
361,3,0,4,2,2,2,1,8,7,1,1,1,1,2,2,4,3,1,1,1,3,1,2,1,1,2
362,4,2,20,2,2,1,1,6,7,1,2,2,1,2,2,3,5,1,1,2,3,2,2,2,2,2
363,5,1,15,2,1,1,1,8,8,2,2,2,2,2,2,5,5,1,1,2,3,1,1,1,1,1
364,3,1,1,1,2,2,2,8,6,2,2,2,2,2,2,3,5,1,1,1,1,2,2,2,2,2
367,5,1,1,1,1,1,2,5,6,2,2,2,1,2,2,2,4,1,1,1,2,1,1,2,2,2
368,3,1,1,1,1,1,2,8,4,2,2,2,1,2,2,4,3,1,1,2,2,2,1,2,2,2
369,3,1,1,1,1,2,2,8,8,2,2,1,1,2,2,4,3,1,1,2,3,2,2,2,1,2
374,5,1,1,2,1,2,1,6,6,1,2,2,1,2,2,4,4,1,1,2,5,1,2,1,1,2
378,4,1,1,1,1,2,2,8,5,2,2,2,1,2,2,4,3,1,1,2,4,2,2,2,2,2
380,4,1,1,2,2,2,2,8,7,2,2,2,1,2,2,3,5,1,1,2,3,2,2,1,1,2
381,3,1,1,1,2,2,2,8,5,2,2,2,1,2,2,4,3,1,1,2,2,2,2,2,2,2
382,2,1,1,2,2,1,1,9,7,2,2,2,2,2,2,3,5,4,3,2,4,2,1,2,2,2
387,4,1,21,2,1,2,2,6,8,2,1,2,1,2,2,2,2,1,1,2,2,1,2,2,1,2
388,3,2,15,2,2,2,1,7,8,2,2,2,1,2,2,4,3,1,1,2,3,1,2,1,1,1
390,3,1,1,2,2,2,1,7,8,1,2,2,2,2,2,3,5,1,1,2,4,1,2,2,2,2
394,4,2,1,1,1,1,2,7,8,2,2,2,1,2,2,5,5,1,1,2,2,1,1,1,1,1
396,4,1,1,1,1,1,2,7,9,2,2,2,2,2,2,3,5,1,1,2,5,2,2,1,2,2
397,3,2,9,1,1,2,1,8,6,2,1,2,1,2,2,4,3,1,1,2,4,2,2,2,2,2
399,3,2,1,2,2,1,1,6,8,2,2,2,1,2,1,3,3,1,1,2,4,2,2,2,2,2
400,4,1,41,2,1,1,2,7,8,2,2,1,1,2,2,3,5,1,1,2,2,2,2,2,1,1
404,2,1,1,1,1,1,1,7,8,2,2,2,2,2,2,3,5,1,1,2,2,2,2,2,2,2
405,3,2,23,2,2,1,1,7,8,2,2,2,2,2,2,2,5,1,1,2,5,2,2,2,2,2
408,6,2,1,2,1,2,1,8,8,1,2,1,1,2,2,4,3,1,1,2,3,1,1,2,1,1
414,5,1,3,1,1,1,1,8,6,2,1,2,1,2,1,3,1,1,1,2,2,2,1,2,1,2
419,4,2,20,1,1,1,2,7,4,2,2,2,2,2,1,4,1,1,1,2,5,2,2,2,2,2
429,4,1,20,1,2,2,2,5,5,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
432,4,1,1,2,2,2,2,7,7,2,2,2,1,2,2,4,5,1,1,2,4,2,2,2,1,2
433,4,1,20,1,1,2,1,8,7,2,2,2,2,2,2,4,3,1,1,2,4,1,2,2,1,2
435,3,2,16,1,2,1,2,8,8,2,2,1,1,2,2,3,5,1,1,2,2,2,2,2,2,1
437,5,1,25,1,1,2,2,6,7,2,2,2,1,2,1,4,2,1,1,2,2,2,2,2,2,2
439,3,2,10,1,1,2,1,8,7,2,1,2,1,2,2,5,5,1,1,2,4,1,1,1,1,2
440,3,1,1,2,1,1,1,8,7,2,2,2,1,2,2,4,3,1,1,2,3,2,2,1,2,1
442,3,1,20,2,1,2,1,7,9,1,2,2,1,2,2,3,3,1,1,2,2,2,2,1,1,2
443,2,1,20,2,1,1,1,8,7,2,1,2,1,2,2,3,5,1,2,2,3,2,2,2,2,2
445,2,1,1,2,1,2,1,8,5,1,1,2,1,2,2,4,3,1,1,1,1,1,2,1,1,2
447,3,1,1,2,1,1,1,8,9,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2
